Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
12.15,0.144338493,4,35,1,0,6976.2524,False,False,False,True
8.89,0.009163216,2,22,0,0,101.2016,True,False,False,False
7.855,0.011307038,4,11,1,0,952.094,False,False,True,False
7.235,0.076855628,2,23,0,2,1969.4364,False,True,False,False
18.25,0.059956876,3,35,1,0,5262.4832,False,False,False,True
6.92,0.038532062,1,18,0,1,1314.2892,False,True,False,False
9.3,0.043209581,1,13,0,1,535.3032,False,True,False,False
18.5,0.056816465,2,22,0,0,263.6568,True,False,False,False
8.02,0.019866705,3,16,0,1,1402.1748,False,True,False,False
9.195,0.048331717,2,13,0,1,1693.7952,False,True,False,False
12.8,0.091221855,2,18,0,1,2143.876,False,True,False,False
16.6,0.027622076,3,21,1,2,2676.516,False,True,False,False
14.0,0.0,1,16,0,1,905.488,False,True,False,False
18.6,0.039355947,4,21,1,2,7370.406,False,True,False,False
16.0,0.060836524,4,16,0,1,6301.1312,False,True,False,False
17.6,0.082316506,3,16,0,1,1597.92,False,True,False,False
21.25,0.155350299,3,16,0,1,529.311,False,True,False,False
7.235,0.076841095,2,16,0,1,1969.4364,False,True,False,False
14.6,0.151419185,1,13,0,1,1034.6532,False,True,False,False
13.85,0.026001976,3,11,1,0,1794.331,False,False,True,False
13.65,0.073209447,4,11,1,0,2768.3964,False,False,True,False
9.5,0.041683481,1,35,1,0,898.83,False,False,False,True
7.365,0.042560252,4,23,0,2,3169.208,False,True,False,False
18.35,0.014081156,4,11,1,0,3589.9936,False,False,True,False
5.465,0.0,2,11,1,0,262.3252,False,False,True,False
18.6,0.152918384,2,13,0,1,1910.1802,False,True,False,False
13.85,0.030969274,2,13,0,1,1701.7848,False,True,False,False
14.0,0.060376776,3,33,2,0,2471.4496,False,True,False,False
14.0,0.04192285,1,33,2,0,1331.6,False,True,False,False
21.35,0.077367431,2,35,1,0,1808.9786,False,False,False,True
5.905,0.045838211,4,11,1,0,3315.684,False,False,True,False
7.27,0.071077939,2,23,0,2,2618.5914,False,True,False,False
6.155,0.094659871,4,23,0,2,2769.728,False,True,False,False
19.5,0.077608838,4,13,0,1,5375.0034,False,True,False,False
15.2,0.021327477,4,13,0,1,2838.9712,False,True,False,False
12.15,0.042485444,2,11,1,0,1743.0644,False,False,True,False
14.6,0.025578526,4,35,1,0,5555.4352,False,False,False,True
12.6,0.0489808,1,11,1,0,619.194,False,False,True,False
14.5,0.019471688,3,16,0,1,2120.573,False,True,False,False
16.6,0.122918852,3,13,0,1,3823.0236,False,True,False,False
11.8,0.057373797,3,33,2,0,1360.2294,False,True,False,False
13.1,0.044155597,3,33,2,0,3969.4996,False,True,False,False
17.7,0.291865402,2,22,0,0,345.5502,True,False,False,False
17.85,0.0,4,22,0,0,585.2382,True,False,False,False
12.3,0.064750025,1,18,0,1,1010.6844,False,True,False,False
11.8,0.098312421,1,22,0,0,161.1236,True,False,False,False
9.395,0.191013663,1,35,0,2,42.6112,True,False,False,False
11.1,0.176573035,3,18,0,1,3010.7476,False,True,False,False
14.0,0.060134441,3,35,1,0,6024.1584,False,False,False,True
11.3,0.007294652,4,18,0,1,988.713,False,True,False,False
10.0,0.128478462,2,35,0,2,239.688,True,False,False,False
5.75,0.075107656,2,33,2,0,1374.2112,False,True,False,False
6.215,0.049381406,4,35,1,0,4739.8302,False,False,False,True
11.35,0.045165796,2,11,1,0,1012.016,False,False,True,False
11.1,0.09415375,3,35,0,2,657.8104,True,False,False,False
14.0,0.028907832,2,21,1,2,778.986,False,True,False,False
19.75,0.018059621,3,18,0,1,2336.958,False,True,False,False
6.525,0.090436094,1,21,1,2,2233.0932,False,True,False,False
10.3,0.146399712,2,21,1,2,1661.8368,False,True,False,False
5.78,0.074264356,4,21,1,2,4745.8224,False,True,False,False
11.85,0.050186726,3,18,0,1,3124.5994,False,True,False,False
16.35,0.020631654,1,11,1,0,467.3916,False,False,True,False
17.6,0.01561108,3,35,1,0,5070.7328,False,False,False,True
10.5,0.041395445,1,23,0,2,540.6296,False,True,False,False
19.0,0.097313129,1,23,0,2,992.7078,False,True,False,False
14.6,0.059582996,4,21,1,2,6008.845,False,True,False,False
15.6,0.098663652,1,35,1,0,2105.2596,False,False,False,True
4.615,0.101338651,4,35,1,0,5359.69,False,False,False,True
18.75,0.052146456,2,18,0,1,745.696,False,True,False,False
5.26,0.041764487,3,16,0,1,3275.736,False,True,False,False
18.25,0.054344186,2,18,0,1,1701.7848,False,True,False,False
10.3,0.078362484,3,35,1,0,6704.606,False,False,False,True
15.1,0.052339069,4,23,0,2,4119.9704,False,True,False,False
15.5,0.042464962,1,22,0,0,327.5736,True,False,False,False
13.65,0.065732883,1,21,1,2,780.9834,False,True,False,False
16.1,0.023625114,4,18,0,1,3630.6074,False,True,False,False
5.175,0.051643608,2,35,0,2,317.5866,True,False,False,False
12.85,0.165694219,1,22,0,0,231.6984,True,False,False,False
9.5,0.041878397,1,16,0,1,133.16,False,True,False,False
13.8,0.058091482,4,16,0,1,5650.6446,False,True,False,False
5.78,0.0,4,13,0,1,2636.568,False,True,False,False
19.7,0.026903714,2,18,0,1,1272.3438,False,True,False,False
14.65,0.0,3,22,0,0,324.9104,True,False,False,False
6.67,0.150554711,2,22,0,0,131.1626,True,False,False,False
6.11,0.0,2,22,0,0,260.9936,True,False,False,False
13.65,0.134975628,4,22,0,0,260.9936,True,False,False,False
17.2,0.15616879,3,33,2,0,3690.5294,False,True,False,False
6.32,0.0,1,16,0,1,1139.1838,False,True,False,False
4.88,0.133700752,1,21,1,2,1995.4026,False,True,False,False
5.425,0.115119905,1,13,0,1,1416.8224,False,True,False,False
15.85,0.110030997,1,23,0,2,265.6542,False,True,False,False
7.5,0.051038045,2,13,0,1,3552.7088,False,True,False,False
12.65,0.062837968,3,33,2,0,2406.867,False,True,False,False
9.06,0.017116983,4,35,0,2,213.056,True,False,False,False
20.75,0.024129332,2,33,2,0,2956.152,False,True,False,False
8.93,0.049754975,3,35,0,2,153.134,True,False,False,False
9.0,0.0,1,16,0,1,1649.8524,False,True,False,False
16.7,0.101561568,3,35,1,0,3101.2964,False,False,False,True
6.36,0.005949644,3,35,1,0,4769.1254,False,False,False,True
5.365,0.13956116,3,35,1,0,3435.528,False,False,False,True
14.1,0.126035694,1,18,0,1,1133.8574,False,True,False,False
7.55,0.027164679,3,16,0,1,2603.278,False,True,False,False
13.0,0.099325278,1,23,0,2,605.878,False,True,False,False
9.3,0.04357366,4,35,1,0,2293.0152,False,False,False,True
17.6,0.082741482,2,35,0,2,119.1782,True,False,False,False
12.3,0.064565202,1,33,2,0,1929.4884,False,True,False,False
7.05,0.084554569,2,35,1,0,2074.6328,False,False,False,True
11.8,0.058451805,1,35,1,0,241.6854,False,False,False,True
17.25,0.113748685,4,18,0,1,6795.1548,False,True,False,False
15.85,0.020603511,1,13,0,1,639.168,False,True,False,False
18.85,0.052044976,4,16,0,1,3248.4382,False,True,False,False
16.35,0.062764429,4,13,0,1,7222.5984,False,True,False,False
14.1,0.087977262,4,16,0,1,3225.1352,False,True,False,False
7.905,0.010010425,4,16,0,1,3755.112,False,True,False,False
12.0,0.033946163,3,33,2,0,3440.8544,False,True,False,False
12.15,0.058414678,3,16,0,1,974.7312,False,True,False,False
10.1,0.027106459,1,21,1,2,535.969,False,True,False,False
17.5,0.027022883,4,13,0,1,5259.82,False,True,False,False
18.35,0.058153409,3,35,0,2,306.268,True,False,False,False
17.1,0.128937661,2,11,1,0,1779.0176,False,False,True,False
7.785,0.088846306,1,21,1,2,759.012,False,True,False,False
11.8,0.09357779,2,33,2,0,1877.556,False,True,False,False
13.15,0.165694678,3,18,0,1,3779.0808,False,True,False,False
6.4,0.148392623,1,35,0,2,41.2796,True,False,False,False
8.5,0.098438394,1,13,0,1,259.662,False,True,False,False
8.645,0.143303291,2,33,2,0,193.082,False,True,False,False
17.6,0.076276208,2,18,0,1,1687.803,False,True,False,False
9.1,0.175103435,2,13,0,1,4655.9394,False,True,False,False
12.8,0.023511371,4,33,2,0,4950.8888,False,True,False,False
7.63,0.06105276,2,16,0,1,1418.154,False,True,False,False
9.285,0.049559042,4,13,0,1,1225.072,False,True,False,False
13.6,0.119418124,4,18,0,1,5359.69,False,True,False,False
8.895,0.072545601,3,18,0,1,1764.37,False,True,False,False
16.35,0.090486828,4,33,2,0,2553.343,False,True,False,False
17.6,0.056245075,1,33,2,0,1006.6896,False,True,False,False
7.975,0.014618973,1,33,2,0,1081.925,False,True,False,False
15.85,0.043479126,1,13,0,1,308.9312,False,True,False,False
15.7,0.045166237,3,33,2,0,2516.724,False,True,False,False
8.985,0.057827101,2,23,0,2,1428.141,False,True,False,False
20.35,0.089394766,4,33,2,0,2093.2752,False,True,False,False
6.59,0.10550944,1,33,2,0,1929.4884,False,True,False,False
19.85,0.005234153,4,16,0,1,5829.7448,False,True,False,False
16.85,0.036390174,1,23,0,2,2082.6224,False,True,False,False
19.35,0.03292824,3,35,1,0,7298.4996,False,False,False,True
16.75,0.081252534,4,33,2,0,7452.9652,False,True,False,False
17.6,0.076552407,2,13,0,1,450.0808,False,True,False,False
7.905,0.016758569,4,22,0,0,500.6816,True,False,False,False
17.85,0.044248175,2,35,1,0,3668.558,False,False,False,True
7.785,0.038288087,2,11,1,0,736.3748,False,False,True,False
7.825,0.186032678,4,16,0,1,6088.0752,False,True,False,False
9.0,0.031867464,2,35,1,0,2125.2336,False,False,False,True
20.75,0.021370201,3,13,0,1,2277.036,False,True,False,False
11.1,0.193772568,4,35,0,2,573.2538,True,False,False,False
6.26,0.009866049,3,16,0,1,2267.049,False,True,False,False
18.2,0.082551042,3,22,0,0,296.9468,True,False,False,False
13.0,0.099729888,1,11,1,0,559.272,False,False,True,False
20.25,0.018801549,4,16,0,1,5559.43,False,True,False,False
8.695,0.119721451,2,21,1,2,1237.7222,False,True,False,False
7.27,0.071222087,2,18,0,1,569.259,False,True,False,False
10.695,0.060371962,3,35,1,0,3866.9664,False,False,False,True
12.85,0.033287541,4,18,0,1,1379.5376,False,True,False,False
7.075,0.05858462,3,11,1,0,1869.5664,False,False,True,False
20.2,0.11679292,4,35,1,0,5499.508,False,False,False,True
8.195,0.031452265,2,21,1,2,925.462,False,True,False,False
7.09,0.00721395,1,16,0,1,583.2408,False,True,False,False
6.095,0.081196619,2,23,0,2,1418.154,False,True,False,False
19.35,0.049916364,1,13,0,1,942.7728,False,True,False,False
6.15,0.04627095,2,23,0,2,2364.9216,False,True,False,False
17.35,0.02747716,1,35,1,0,3251.7672,False,False,False,True
20.2,0.104704537,2,35,0,2,254.3356,True,False,False,False
17.7,0.012540003,3,16,0,1,5895.659,False,True,False,False
17.85,0.147023834,1,11,1,0,1134.5232,False,False,True,False
9.395,0.159657596,4,18,0,1,7696.648,False,True,False,False
15.75,0.141398626,4,13,0,1,2775.7202,False,True,False,False
7.475,0.148821808,4,18,0,1,5317.0788,False,True,False,False
7.075,0.0,2,11,1,0,874.8612,False,False,True,False
6.445,0.029691762,1,23,0,2,1039.9796,False,True,False,False
19.1,0.096715523,4,16,0,1,3038.0454,False,True,False,False
20.25,0.014790559,4,16,0,1,3848.324,False,True,False,False
15.0,0.054378253,1,23,0,2,527.3136,False,True,False,False
6.67,0.123428594,1,23,0,2,2390.8878,False,True,False,False
13.0,0.029943463,1,35,1,0,1677.816,False,False,False,True
16.7,0.052368061,2,33,2,0,801.6232,False,True,False,False
7.07,0.093861144,2,18,0,1,1267.0174,False,True,False,False
6.48,0.033968647,3,18,0,1,886.8456,False,True,False,False
19.0,0.173154079,4,22,0,0,452.744,True,False,False,False
13.35,0.139735226,3,18,0,1,3877.6192,False,True,False,False
5.98,0.043351896,3,35,1,0,4414.254,False,False,False,True
9.3,0.042086652,2,35,1,0,5448.9072,False,False,False,True
9.695,0.12848269,4,21,1,2,4950.8888,False,True,False,False
15.0,0.049357077,1,13,0,1,958.752,False,True,False,False
11.15,0.008326735,3,13,0,1,1956.1204,False,True,False,False
20.85,0.021362955,2,21,1,2,2404.2038,False,True,False,False
9.8,0.151420934,4,22,0,0,387.4956,True,False,False,False
16.35,0.032511818,3,33,2,0,994.7052,False,True,False,False
9.6,0.022323658,2,18,0,1,1754.383,False,True,False,False
18.0,0.019292355,2,35,1,0,3340.9844,False,False,False,True
13.35,0.048124443,4,18,0,1,3918.8988,False,True,False,False
20.7,0.09261307,1,33,2,0,306.268,False,True,False,False
15.1,0.094697274,3,35,1,0,4278.4308,False,False,False,True
16.2,0.035984104,4,18,0,1,4425.5726,False,True,False,False
13.8,0.056596985,4,35,1,0,9267.936,False,False,False,True
15.6,0.2047,1,35,0,2,229.701,True,False,False,False
21.1,0.020618324,2,35,1,0,2055.9904,False,False,False,True
5.5,0.04709821,2,23,0,2,3339.6528,False,True,False,False
15.1,0.087584126,4,18,0,1,6410.3224,False,True,False,False
15.7,0.038078899,2,13,0,1,1992.0736,False,True,False,False
7.895,0.095102092,2,13,0,1,2870.9296,False,True,False,False
17.2,0.011953902,3,35,1,0,2807.0128,False,False,False,True
17.35,0.062799379,1,33,2,0,539.298,False,True,False,False
7.285,0.031125709,3,33,2,0,4377.635,False,True,False,False
20.25,0.026005891,3,18,0,1,2716.464,False,True,False,False
18.75,0.09246392,4,35,0,2,383.5008,True,False,False,False
15.85,0.107765165,1,21,1,2,703.0848,False,True,False,False
6.17,0.010647477,1,21,1,2,1937.478,False,True,False,False
19.5,0.015749341,3,21,1,2,3307.6944,False,True,False,False
19.2,0.077628053,4,21,1,2,3142.576,False,True,False,False
16.7,0.0,3,11,1,0,2554.0088,False,False,True,False
20.85,0.056695731,2,11,1,0,1869.5664,False,False,True,False
14.5,0.063993068,4,18,0,1,5494.8474,False,True,False,False
11.395,0.069529262,4,33,2,0,6093.4016,False,True,False,False
7.97,0.034452949,3,23,0,2,2586.633,False,True,False,False
7.71,0.06670068,1,21,1,2,1255.6988,False,True,False,False
19.25,0.034699737,2,23,0,2,4093.3384,False,True,False,False
7.075,0.058346939,2,23,0,2,3163.8816,False,True,False,False
19.35,0.065203103,3,35,1,0,5033.448,False,False,False,True
11.6,0.078929571,1,23,0,2,1137.1864,False,True,False,False
8.985,0.182514881,2,35,1,0,2696.49,False,False,False,True
12.1,0.016895293,3,11,1,0,898.83,False,False,True,False
10.0,0.073379745,2,23,0,2,2756.412,False,True,False,False
14.35,0.08075758,1,18,0,1,878.856,False,True,False,False
10.395,0.112271498,1,21,1,2,659.142,False,True,False,False
17.7,0.153741385,3,35,0,2,182.4292,True,False,False,False
8.1,0.127929521,4,33,2,0,3610.6334,False,True,False,False
8.05,0.07838564,4,16,0,1,5153.292,False,True,False,False
9.195,0.078502143,2,13,0,1,2588.6304,False,True,False,False
20.7,0.047684831,4,11,1,0,1286.3256,False,False,True,False
15.7,0.123159656,2,13,0,1,1230.3984,False,True,False,False
15.1,0.0,1,35,1,0,1733.7432,False,False,False,True
18.35,0.053392944,4,35,0,2,384.8324,True,False,False,False
16.5,0.036715907,3,18,0,1,3969.4996,False,True,False,False
9.0,0.065236932,3,16,0,1,7763.228,False,True,False,False
6.785,0.041947547,1,33,2,0,809.6128,False,True,False,False
19.5,0.082888496,3,11,1,0,1253.7014,False,False,True,False
7.575,0.055390121,4,23,0,2,5715.2272,False,True,False,False
18.2,0.012194556,1,33,2,0,1464.76,False,True,False,False
16.75,0.060495243,3,33,2,0,3251.1014,False,True,False,False
7.47,0.0,4,16,0,1,4274.436,False,True,False,False
20.35,0.014753811,4,35,1,0,5375.0034,False,False,False,True
18.2,0.160707489,1,35,1,0,1318.284,False,False,False,True
13.85,0.085622362,2,11,1,0,2251.7356,False,False,True,False
6.635,0.046350909,1,13,0,1,1176.4686,False,True,False,False
6.11,0.102920886,2,23,0,2,3523.4136,False,True,False,False
15.25,0.026604781,1,16,0,1,610.5386,False,True,False,False
15.85,0.0,2,16,0,1,1237.7222,False,True,False,False
15.2,0.031860325,4,22,0,0,474.0496,True,False,False,False
14.65,0.0,1,35,1,0,717.7324,False,False,False,True
20.75,0.021250002,3,23,0,2,2580.6408,False,True,False,False
10.195,0.159936948,3,23,0,2,2552.6772,False,True,False,False
7.605,0.129503146,3,18,0,1,3914.904,False,True,False,False
18.0,0.142688846,1,23,0,2,796.9626,False,True,False,False
13.35,0.179484411,4,35,0,2,916.1408,True,False,False,False
18.35,0.089163056,4,18,0,1,3259.7568,False,True,False,False
6.59,0.105761491,1,21,1,2,1677.816,False,True,False,False
13.8,0.056960814,4,21,1,2,3707.1744,False,True,False,False
21.2,0.00704098,3,23,0,2,2954.1546,False,True,False,False
10.5,0.011026594,3,11,1,0,2652.5472,False,False,True,False
8.97,0.093203257,1,18,0,1,1037.3164,False,True,False,False
10.895,0.026916794,1,35,1,0,717.7324,False,False,False,True
10.6,0.035264298,1,18,0,1,426.112,False,True,False,False
13.65,0.015908424,4,16,0,1,6911.004,False,True,False,False
19.0,0.017719277,4,23,0,2,3811.0392,False,True,False,False
15.6,0.035334201,2,35,1,0,2277.036,False,False,False,True
6.8,0.065652494,1,35,0,2,48.6034,True,False,False,False
6.865,0.056919038,4,21,1,2,5770.4886,False,True,False,False
10.8,0.048143292,1,23,0,2,690.4346,False,True,False,False
16.7,0.022047313,2,33,2,0,1890.2062,False,True,False,False
18.85,0.090427268,2,35,1,0,3195.84,False,False,False,True
15.15,0.027779254,3,23,0,2,1504.708,False,True,False,False
10.5,0.0,4,22,0,0,711.0744,True,False,False,False
17.6,0.008033611,3,11,1,0,4311.055,False,False,True,False
19.35,0.033088472,3,23,0,2,521.3214,False,True,False,False
15.7,0.160663021,1,23,0,2,829.5868,False,True,False,False
18.1,0.178975721,3,13,0,1,1571.288,False,True,False,False
10.195,0.017627888,4,16,0,1,2403.538,False,True,False,False
10.6,0.0194158,1,35,0,2,83.8908,True,False,False,False
6.655,0.016993225,4,18,0,1,844.2344,False,True,False,False
19.0,0.027139013,2,13,0,1,2940.1728,False,True,False,False
7.075,0.03777249,2,22,0,0,291.6204,True,False,False,False
13.15,0.036746479,3,18,0,1,3259.7568,False,True,False,False
20.1,0.022460102,4,21,1,2,3415.554,False,True,False,False
20.35,0.0,4,11,1,0,5624.6784,False,False,True,False
18.85,0.05213575,4,21,1,2,6687.961,False,True,False,False
16.35,0.062508438,4,21,1,2,5642.655,False,True,False,False
11.3,0.007309544,4,11,1,0,4943.565,False,False,True,False
17.5,0.015623754,3,11,1,0,3135.2522,False,False,True,False
18.0,0.142978223,1,18,0,1,796.9626,False,True,False,False
7.935,0.017191055,1,18,0,1,848.895,False,True,False,False
5.765,0.143592939,1,35,0,2,38.6164,True,False,False,False
20.25,0.011995271,3,23,0,2,4997.4948,False,True,False,False
15.5,0.15717236,3,21,1,2,588.5672,False,True,False,False
17.25,0.061393095,1,35,0,2,372.848,True,False,False,False
5.86,0.264124669,3,35,0,2,155.1314,True,False,False,False
15.35,0.020310046,4,33,2,0,3038.7112,False,True,False,False
10.1,0.054630834,4,23,0,2,1587.2672,False,True,False,False
16.7,0.052517969,2,18,0,1,687.1056,False,True,False,False
20.7,0.047565208,4,21,1,2,1929.4884,False,True,False,False
16.0,0.060797393,4,33,2,0,3600.6464,False,True,False,False
